trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
248,False,"{'a': 0.35482637461990579, 'e': 0.012566039883352774}",20,10,19.648774839809164,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.3545883219421897, 'e': 0.0062831439655590656}",35,20,27.78787703455381,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,11,19.79918127419417,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,15,19.851422624117113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,15,19.56304656753443,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",20,13,15.325215418452517,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,12,22.868383406187842,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,16,15.570277662227445,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",30,12,27.54292111673517,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,15,14.770339760367614,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",25,11,28.33182591593312,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.35435151235617085, 'e': 6.123233995736766e-17}",30,7,37.09927399391651,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
